System Name,Managed State,Tags,IP address,User Name,Last Communication
OCS-L-004187365,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.245,daniel.morrow,3/11/20 5:02:55 PM EDT
OCS-L-004187367,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.46,kurt.hess,3/11/20 4:45:54 PM EDT
OCS-L-004187368,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.60,Starla.Robinson,3/11/20 4:33:57 PM EDT
OCS-L-004187369,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.26,Christina.Belton,3/11/20 3:20:35 PM EDT
OCS-L-004187370,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.164,Hilina.Tarekegn,3/11/20 4:03:13 PM EDT
OCS-L-004187372,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.13,Michael.Lalime,3/11/20 4:38:03 PM EDT
OCS-L-004187373,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.57.191,Zizang.Yang,3/11/20 4:03:44 PM EDT
OCS-L-004187374,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.234,Jim.Salman,3/11/20 5:03:46 PM EDT
OCS-L-004187375,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.175,naoe.straitz,3/11/20 4:33:06 PM EDT
OCS-L-004187376,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.75,Mike.Thompson,3/11/20 2:29:41 PM EDT
OCS-L-004187377,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.65,martha.bakry,3/11/20 5:03:19 PM EDT
OCS-L-004187378,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.9,Christina.Fandel,3/11/20 4:29:13 PM EDT
OCS-L-004187379,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.86.32,Yogen.Drans,3/11/20 4:19:16 PM EDT
OCS-L-004187380,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.4,craig.winn,3/11/20 4:36:07 PM EDT
OCS-L-004187381,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.0.0.203,Christopher.Hare,3/11/20 4:56:28 PM EDT
OCS-L-004187382,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.149.74.54,Michael.Davidson,3/11/20 4:40:21 PM EDT
OCS-L-004187383,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.147,Phillip.Jenkins,3/11/20 4:14:09 PM EDT
OCS-L-004187385,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.113,Glen.Rice,3/11/20 5:09:54 PM EDT
OCS-L-004187386,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.30,Gena.Manic,3/11/20 3:03:19 PM EDT
OCS-L-004187387,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.48,Danny.Fitzpatrick,3/11/20 4:32:07 PM EDT
OCS-L-004187388,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.210,ellen.sanford,3/11/20 3:03:41 PM EDT
OCS-L-004187389,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.16,paul.gionis,3/11/20 4:14:39 PM EDT
OCS-L-004187390,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.51,Mohammed.Kemal,3/11/20 4:12:39 PM EDT
OCS-L-004187391,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.133,Robert.Ciepiela,3/11/20 5:11:38 PM EDT
OCS-L-004187392,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.128,Jeremy.Wetzel,3/11/20 3:51:47 PM EDT
OCS-L-004187393,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.231,yan.xu,3/11/20 4:09:45 PM EDT
OCS-L-004187394,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.222,Martha.Herzog,3/11/20 4:32:14 PM EDT
OCS-L-004187395,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.62,justin.adams,3/11/20 4:03:19 PM EDT
OCS-L-004187396,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.32,Yuji.Funakoshi,3/11/20 5:03:23 PM EDT
OCS-L-004187397,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.180,Barry.Gallagher,3/11/20 12:23:45 PM EDT
OCS-L-004187398,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.3,N/A,3/11/20 4:54:29 PM EDT
OCS-L-004187399,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.128,brian.akers,3/11/20 4:03:41 PM EDT
OCS-L-004187400,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.145,Brian.Hensel,3/11/20 4:27:17 PM EDT
